Item ID,Title,Click potential,Feed label,Language,Item status,Channels,Issue title,Issue additional information,Traffic type,Country,Issue severity
prod-mnnyljke-go92k4,Lenovo ThinkBook i5 13th / 8GB / 256GB,Low,AE,en,ELIGIBLE_LIMITED,ONLINE,Missing local inventory data,Missing inventory data for products in your physical stores,Free local listings,United Arab Emirates,SEVERITY_DISAPPROVED
prod-mnnz7lck-2n3b85,Samsung Tab A6 32GB Good Condition,Low,AE,en,ELIGIBLE_LIMITED,ONLINE,Missing local inventory data,Missing inventory data for products in your physical stores,Free local listings,United Arab Emirates,SEVERITY_DISAPPROVED
prod-mnnylj55-ahu1yf,MacBook Air M2 2022 8GB / 256GB Good Condition,Low,AE,en,ELIGIBLE_LIMITED,ONLINE,Missing local inventory data,Missing inventory data for products in your physical stores,Free local listings,United Arab Emirates,SEVERITY_DISAPPROVED
prod-mnnz7boc-pchv3y,Honor X8 6+2GB / 128GB Good Condition,Low,AE,en,ELIGIBLE_LIMITED,ONLINE,Missing local inventory data,Missing inventory data for products in your physical stores,Free local listings,United Arab Emirates,SEVERITY_DISAPPROVED
prod-mnnz7dcf-h2lui0,Redmi Note 8 6GB / 128GB Good Condition,Low,AE,en,ELIGIBLE_LIMITED,ONLINE,Missing local inventory data,Missing inventory data for products in your physical stores,Free local listings,United Arab Emirates,SEVERITY_DISAPPROVED
prod-mnnyldsg-91l1yj,"MacBook Air 13"" M4 256GB / 16GB RAM Silver",Low,AE,en,ELIGIBLE_LIMITED,ONLINE,Missing local inventory data,Missing inventory data for products in your physical stores,Free local listings,United Arab Emirates,SEVERITY_DISAPPROVED
prod-mnnz79rn-hqlaav,iPhone 13 Pro Max 256GB Blue,Low,AE,en,ELIGIBLE_LIMITED,ONLINE,Missing local inventory data,Missing inventory data for products in your physical stores,Free local listings,United Arab Emirates,SEVERITY_DISAPPROVED
prod-mnnylg1u-8oymq7,Xbox One,Low,AE,en,ELIGIBLE_LIMITED,ONLINE,Missing local inventory data,Missing inventory data for products in your physical stores,Free local listings,United Arab Emirates,SEVERITY_DISAPPROVED
prod-mnnz7i37-f45q0m,"MacBook Pro 2019 15"" 32GB / 512GB / Touch Bar Good Condition",Low,AE,en,ELIGIBLE_LIMITED,ONLINE,Missing local inventory data,Missing inventory data for products in your physical stores,Free local listings,United Arab Emirates,SEVERITY_DISAPPROVED
prod-mnnz7dy1-88bplj,Tecno Spark Go 1 64GB / 3GB RAM Good Condition,Low,AE,en,ELIGIBLE_LIMITED,ONLINE,Missing local inventory data,Missing inventory data for products in your physical stores,Free local listings,United Arab Emirates,SEVERITY_DISAPPROVED
