title	id	price	condition	availability	channel	feed label	language	additional image link	all clicks	brand	color	description	google product category	identifier exists	image link	item group id	link	mpn	product type	rating average	rating count	shipping(country)
iPhone 16 Pro Max 512GB Natural Titanium	prod-mo4quowp-1beaxb	3850.00 AED	used	in stock	Online	AE	en		0	Apple		"iPhone 16 Pro Max 512GB Natural Titanium from PZM in Dubai with used-device availability, local support, and Cash on Delivery. Battery 90% Never Fixed Before"	Electronics > Communications > Telephony > Mobile Phones		https://pzm.ae/api/media/products/1776575887419-7ymnqd.webp	used-apple-iphone-16-pro-max-512gb	https://pzm.ae/product/prod-mo4quowp-1beaxb/	004240017426	Preowned Devices > Phones & Tablets			
iPhone 17 Pro 256GB Cosmic Orange	prod-mo4qtqv4-tougpx	4700.00 AED	new	in stock	Online	AE	en		0	Apple		"iPhone 17 Pro 256GB Cosmic Orange from PZM in Dubai with brand-new availability, local support, and Cash on Delivery."	Electronics > Communications > Telephony > Mobile Phones	no	https://pzm.ae/api/media/products/1776708271444-5aklvh.webp	apple-iphone-17-pro-256gb	https://pzm.ae/product/prod-mo4qtqv4-tougpx/		Brand New Devices > Phones & Tablets			
Microsoft i5 6th i5 6th / 4GB / 128GB Silver	prod-mo4qv9nk-q15ybg	1000.00 AED	used	in stock	Online	AE	en		0	Microsoft		"Microsoft i5 6th i5 6th / 4GB / 128GB Silver from PZM in Dubai with used-device availability, local support, and Cash on Delivery."	Electronics > Computers > Laptops		https://pzm.ae/api/media/products/1776575995487-qwprjj.webp	used-microsoft-i5-6th-128gb	https://pzm.ae/product/prod-mo4qv9nk-q15ybg/	004504126	Preowned Devices > Laptops			
HP i7 8th i7 8th / 8GB / 256GB Silver	prod-mo4qvdlf-1a1g5l	950.00 AED	used	in stock	Online	AE	en		0	HP		"HP i7 8th i7 8th / 8GB / 256GB Silver from PZM in Dubai with used-device availability, local support, and Cash on Delivery."	Electronics > Computers > Laptops		https://pzm.ae/api/media/products/1776576001168-zr4mty.webp	used-hp-i7-8th-256gb	https://pzm.ae/product/prod-mo4qvdlf-1a1g5l/	004180111125	Preowned Devices > Laptops			
iPhone 17 Air Dubai	services	5500.00 AED	new	in stock	Online	AE	en	https://pzm.ae/images/buy_iphone/iPhone_17_Pro_Max_all_colors.jpg,https://pzm.ae/images/buy_iphone/iPhone_17_Pro_all_colors.jpg,https://pzm.ae/images/buy_iphone/iPhone_17_all_colors.jpg	0	Apple		"Buy iPhone 17 Air in Dubai. Ultra-thin design with powerful performance. Available in Space Black, Cloud White, Light Gold, and Sky Blue. Cash on delivery UAE."			https://pzm.ae/images/buy_iphone/iPhone_17_Air_all_colors.jpg		https://pzm.ae/services/buy-iphone.html			4.9	64	AE
iPhone 17 Pro 256GB Silver	prod-mo4qtru7-zvxcd4	4700.00 AED	new	in stock	Online	AE	en		0	Apple		"iPhone 17 Pro 256GB Silver from PZM in Dubai with brand-new availability, local support, and Cash on Delivery."	Electronics > Communications > Telephony > Mobile Phones	no	https://pzm.ae/api/media/products/1776708286468-uh64t5.webp	apple-iphone-17-pro-256gb	https://pzm.ae/product/prod-mo4qtru7-zvxcd4/		Brand New Devices > Phones & Tablets			
Samsung Galaxy A06 4G 64GB / 4GB RAM White	prod-mo4qu7dq-207z49	450.00 AED	new	in stock	Online	AE	en		0	Samsung		"Samsung Galaxy A06 4G 64GB / 4GB RAM White from PZM in Dubai with brand-new availability, local support, and Cash on Delivery."	Electronics > Communications > Telephony > Mobile Phones	no	https://pzm.ae/api/media/products/1776575875715-ryctfs.webp	samsung-a06-4g-64gb	https://pzm.ae/product/prod-mo4qu7dq-207z49/		Brand New Devices > Phones & Tablets			
iPhone 17 Pro Max 256GB Silver	prod-mo7h67vb-dpn2yx	5100.00 AED	new	in stock	Online	AE	en		0	Apple		"iPhone 17 Pro Max 256GB Silver from PZM in Dubai with brand-new availability, local support, and Cash on Delivery."		no	https://pzm.ae/api/media/products/1776708263937-t10pf8.webp		https://pzm.ae/product/prod-mo7h67vb-dpn2yx/		Brand New Devices > Phones & Tablets			
Intel Xeon Desktop Xeon / 24GB / HDD 1TB Black	prod-mo4qvh2q-9ivjgv	850.00 AED	used	in stock	Online	AE	en		0	Custom		"Intel Xeon Desktop Xeon / 24GB / HDD 1TB Black from PZM in Dubai with used-device availability, local support, and Cash on Delivery."	Electronics > Computers > Desktop Computers		https://pzm.ae/api/media/products/1776576023155-30gw27.webp	used-intel-xeon-desktop-24gb	https://pzm.ae/product/prod-mo4qvh2q-9ivjgv/	00140011924	Preowned Devices > Desktop PCs			
Dell Inspiron 3558 i5 5th / 8GB / 512GB Black	prod-mo4qvexx-uee7df	550.00 AED	used	in stock	Online	AE	en		0	Dell		"Dell Inspiron 3558 i5 5th / 8GB / 512GB Black from PZM in Dubai with used-device availability, local support, and Cash on Delivery."	Electronics > Computers > Laptops		https://pzm.ae/api/media/products/1776576012239-twepsy.webp	used-dell-inspiron-3558	https://pzm.ae/product/prod-mo4qvexx-uee7df/	00405031225	Preowned Devices > Laptops			
HP AiO i5 4th i5 4th / 8GB / 256GB White	prod-mo4qvkpv-4gm9fe	750.00 AED	used	in stock	Online	AE	en		0	HP		"HP AiO i5 4th i5 4th / 8GB / 256GB White from PZM in Dubai with used-device availability, local support, and Cash on Delivery."	Electronics > Computers > Desktop Computers		https://pzm.ae/api/media/products/1776576006748-daqilo.webp	used-hp-aio-i5-4th	https://pzm.ae/product/prod-mo4qvkpv-4gm9fe/	00470027425	Preowned Devices > Desktop PCs			
iPhone 17 Air (eSIM + Physical SIM) 1TB Blue	prod-mnku9nbd-ob74rl	5500.00 AED	new	in stock	Online	AE	en		0	Apple		Brand new iPhone 17 Air 1TB in Blue with eSIM plus physical SIM support.	Electronics > Communications > Telephony > Mobile Phones		https://pzm.ae/api/media/products/1776708296888-jgv6m5.webp	apple-iphone-17-air-esim-physical-sim	https://pzm.ae/product/prod-mnku9nbd-ob74rl/	0044000141225	Brand New Devices > Phones & Tablets			
